category,region,distance,time_required,level,course_name,point_number,point_name,long_,lat_
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1475,서울대학교 버스정류장,126.9478376,37.4669357
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1473,도토리 쉼터,126.9472706,37.45502868
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1472,전망 쉼터,126.9480859,37.45394446
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1469,책읽는 쉼터,126.9461307,37.45583426
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1468,제2광장 자락길(무장애숲길)입구,126.9456405,37.45578754
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1471,바위 쉼터,126.94856,37.45463125
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1470,잣나무 쉼터,126.9466079,37.45585133
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1476,관악산 호수공원,126.9471659,37.45835825
근교산자락길,관악구,1.3km,30분,1,관악산 자락길(무장애숲길),1474,관악산 등산로 입구,126.9462102,37.46829457
한양도성길,종로구중구,1.8km, 1시간,1,흥인지문구간,1446,장충체육관,127.0070114,37.55812795
한양도성길,종로구중구,1.8km, 1시간,1,흥인지문구간,1445,광희문,127.0099875,37.5643621
한양도성길,종로구중구,1.8km, 1시간,1,흥인지문구간,1444,흥인지문,127.0096958,37.57109843
한양도성길,종로구중구,1.8km, 1시간,1,흥인지문구간,1467,동대문문화역사공원역 지하철 2 4 5호선,127.0088366,37.56577923
한양도성길,종로구중구,1.8km, 1시간,1,흥인지문구간,1465,동대문역 1 4호선,127.009675,37.57142649
한양도성길,종로구중구,1.8km, 1시간,1,흥인지문구간,1466,동대입구역 지하철 3호선,127.006363,37.55880244
한양도성길,종로구,4km, 2시간 30분,2,인왕산구간,1442, 사직근린공원,126.9677219,37.57565771
한양도성길,종로구,4km, 2시간 30분,2,인왕산구간,1463,서대문역 지하철 5호선,126.9664523,37.5657424
한양도성길,종로구,4km, 2시간 30분,2,인왕산구간,1462,자하문고개?윤동주시인의언덕,126.9672678,37.59224253
한양도성길,종로구,4km, 2시간 30분,2,인왕산구간,1443,창의문,126.9664771,37.5926027
한양도성길,종로구,4km, 2시간 30분,2,인왕산구간,1441,종로문화체육센터,126.964556,37.57418766
한양도성길,종로구,4km, 2시간 30분,2,인왕산구간,1440,돈의문터(서대문) 강북삼성병원,126.9686779,37.56820247
한양도성길,종로구,4km, 2시간 30분,2,인왕산구간,1464,경복궁역 지하철 3호선,126.9724335,37.57596157
한양도성길,중구,1.8km, 1시간,1,숭례문구간,1460,시청역 지하철 1 2호선,126.9770172,37.56478014
한양도성길,중구,1.8km, 1시간,1,숭례문구간,1461,서대문역 지하철 5호선,126.9662631,37.56553694
한양도성길,중구,1.8km, 1시간,1,숭례문구간,1437,뱀범광장,126.9797002,37.55504387
한양도성길,중구,1.8km, 1시간,1,숭례문구간,1459,서울역 지하철 1 4호선,126.9714168,37.55511423
한양도성길,중구,1.8km, 1시간,1,숭례문구간,1438,숭례문,126.9753099,37.56013985
한양도성길,중구,1.8km, 1시간,1,숭례문구간,1439,돈의문터(서대문) 강북삼성병원,126.9687323,37.56827539
한양도성길,중구,1.8km, 1시간,1,숭례문구간,1458,회현역 지하철 4호선,126.9781514,37.55844253
한양도성길,종로구,4.70km,3시간,2,백악구간,1454,자하문고개?윤동주시인의언덕,126.9672678,37.59224253
한양도성길,종로구,4.70km,3시간,2,백악구간,1435,혜화문(홍화문),127.0037098,37.58788924
한양도성길,종로구,4.70km,3시간,2,백악구간,1434,와룡공원,126.9900967,37.59128325
한양도성길,종로구,4.70km,3시간,2,백악구간,1433,말바위안내소,126.9832862,37.59479188
한양도성길,종로구,4.70km,3시간,2,백악구간,1432,숙정문,126.9810576,37.59565839
한양도성길,종로구,4.70km,3시간,2,백악구간,1431,창의문,126.9664771,37.5926027
한양도성길,종로구,4.70km,3시간,2,백악구간,1455,혜화역 지하철 4호선,127.0018981,37.58293382
한양도성길,종로구,4.70km,3시간,2,백악구간,1453,한성대입구역 지하철 4호선,127.0058863,37.5883888
한양도성길,중구,4.2km,3시간,2,남산구간,1451,남산북측순환로입구,126.9984,37.54994726
한양도성길,중구,4.2km,3시간,2,남산구간,1452,남산N서울타워,126.9910622,37.55102245
한양도성길,중구,4.2km,3시간,2,남산구간,1450,국립극장,127.0002206,37.55157634
한양도성길,중구,4.2km,3시간,2,남산구간,1426,동대입구역 지하철 3호선,127.006363,37.55880244
한양도성길,중구,4.2km,3시간,2,남산구간,1427,장충체육관,127.007114,37.55818165
한양도성길,중구,4.2km,3시간,2,남산구간,1428,국립극장,127.0001249,37.55228693
한양도성길,중구,4.2km,3시간,2,남산구간,1429,남산N서울타워,126.9886119,37.55148329
한양도성길,중구,4.2km,3시간,2,남산구간,1430,백범광장,126.9797865,37.55507857
한양도성길,성북구종로구,2.1km,1시간,1,낙산구간,1448,동대문역 지하철 14호선,127.0105103,37.57162702
한양도성길,성북구종로구,2.1km,1시간,1,낙산구간,1449,혜화역 지하철 4호선,127.0018981,37.58293382
한양도성길,성북구종로구,2.1km,1시간,1,낙산구간,1447,한성대입구역 지하철 4호선,127.0058863,37.5883888
한양도성길,성북구종로구,2.1km,1시간,1,낙산구간,1425,흥인지문,127.009506,37.57119068
한양도성길,성북구종로구,2.1km,1시간,1,낙산구간,1424,낙산공원,127.0083084,37.58095081
한양도성길,성북구종로구,2.1km,1시간,1,낙산구간,1423,혜화문(홍화문),127.0037098,37.58788924
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1019,연희숲속 쉼터,126.9382566,37.57946556
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1022,안산 자락길 전망대,126.9466519,37.58144451
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1023,봉원사,126.9472855,37.57231759
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1024,독립문(독립공원),126.9547155,37.57555179
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1025,봉수대,126.9447445,37.57722555
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1026,메타세콰이아숲(숲속 무대),126.941735,37.57489511
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1027,서대문구청서대문보건소 버스정류장(13-156),126.9360238,37.57851133
근교산자락길,서대문구,7km,2시간 ,1,안산 자락길,1028,독립문역 5번 출입구,126.9569746,37.57512419
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1012,지하철 3호선 경복궁역 1번 출구,126.9716152,37.57611226
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1004,사직근린공원(사직단),126.9669864,37.5750901
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1005,단군성전,126.9656182,37.57574565
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1006,수성동계곡,126.9614536,37.5827316
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1007,청운공원,126.9659493,37.59086852
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1008,윤동주시인의 언덕,126.9665094,37.59082064
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1009,윤동주 문학관,126.9671625,37.59209274
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1010,창의문(북악산 한양도성) ,126.966466,37.59255656
근교산자락길,종로구,2.5km,1시간,1,인왕산 자락길,1011,황학정,126.9641543,37.57764037
근교산자락길,양천구,4.6km,2시간30분,1,신정산 자락길,1003,버스정류장 15-309,126.8447444,37.50987921
근교산자락길,양천구,4.6km,2시간30분,1,신정산 자락길,999,데크로드 진입공간,126.8442102,37.5124131
근교산자락길,양천구,4.6km,2시간30분,1,신정산 자락길,1000,계남근린공원,126.8553329,37.50947537
근교산자락길,양천구,4.6km,2시간30분,1,신정산 자락길,1001,시립고척도서관,126.8531053,37.50511515
